idx,y,cl_1,cl_2,cl_u,cl_ncor,cl_njet,V
53,1.6129032258064515,0.2291761982326669,0.22976281560734665,0.2375104980856599,0.2555824488768006,0.1897237091835885,121.35275754422474
54,1.6774193548387095,0.2281741414734363,0.22871074248644133,0.2336749333570352,0.2512839334442803,0.1894017527149397,119.66701352757542
55,1.7419354838709677,0.22668479899467825,0.22718348755093443,0.2280663774273988,0.2451576928714288,0.1890624574849318,117.23204994797085
56,1.8064516129032258,0.2246768043751579,0.22514843158291487,0.2207847939821265,0.2373020423117117,0.1887048244272894,114.04786680541102
57,1.870967741935484,0.22223924584922433,0.2226924193015496,0.21196164542846063,0.22784564788273456,0.18832780918773692,110.11446409989593
58,1.935483870967742,0.21921562821133106,0.21965462798357663,0.20176755024213713,0.21695519091773363,0.18793030482033035,105.43184183142559
59,2.0,0.21452446223361263,0.2149422262287365,0.1904455424905938,0.20486858874080563,0.18751112534745928,100.0
60,2.064516129032258,0.21822466412554578,0.21861960011746537,0.20071440659986114,0.21597965847099776,0.1870689886458462,105.43184183142559
61,2.129032258064516,0.22016579562903785,0.22052685158494797,0.2097578597895906,0.2258048406240049,0.18660249725096809,110.11446409989593
62,2.193548387096774,0.22144641249232155,0.22177473052570976,0.21735072536029215,0.23412343833850952,0.18611011548282025,114.047866805411
63,2.258064516129032,0.22223967351324905,0.2225415679078138,0.22333976683551993,0.24078565361703053,0.18559014075463806,117.23204994797084
64,2.32258064516129,0.22247289508053505,0.22275776487281723,0.2276105768469703,0.24567950623336646,0.1850406658646381,119.66701352757542
65,2.387096774193548,0.22219371570931376,0.22247305398546938,0.2300800448698682,0.2487232960510747,0.18445952709932073,121.35275754422474
66,2.4516129032258065,0.22128826636147697,0.22157427196333046,0.23069454329202918,0.24986373514699184,0.18384422925428656,122.2892819979188
67,2.5161290322580645,0.21975054258925217,0.2200552171881793,0.22942969216774264,0.24907557525293533,0.18319183133485104,122.47658688865764
68,2.5806451612903225,0.21763216413229852,0.21796623790854192,0.2262905326713167,0.24636146368429987,0.18249876131351012,121.91467221644119
69,2.6451612903225805,0.2149980563919763,0.215369617510212,0.22131187774113784,0.24175150449417837,0.18176049356403814,120.6035379812695
70,2.709677419354839,0.21191406176405858,0.21232674831037038,0.21455940451489613,0.2353021452241128,0.18097093629829722,118.54318418314253
71,2.774193548387097,0.20843906654876465,0.20888944406736673,0.2061340784219247,0.22709376743145962,0.18012113436574878,115.73361082206033
72,2.838709677419355,0.20459430128440148,0.2050674296304406,0.19618957678162163,0.2172252273818161,0.17919609272462925,112.17481789802287
73,2.903225806451613,0.20023382152182026,0.20069369595674696,0.18500005925481044,0.20579843448719493,0.1781651594260631,107.86680541103016
74,2.967741935483871,0.1916855275063706,0.1920301314872394,0.17325485579347458,0.1928516925197762,0.1769401845535493,102.8095733610822
75,3.142857142857143,0.18489615202873905,0.18488864347867415,0.1827941519946638,0.18308060429034823,0.1749200886850251,100.0
76,3.4285714285714284,0.17690201334394243,0.17700226220183227,0.17549433193175004,0.17587948052328797,0.16990085300275198,100.0
77,3.7142857142857144,0.16812978647585086,0.16829094901319555,0.16716456258727802,0.16750604941118308,0.16298504899007618,100.0
78,4.0,0.1573497988686268,0.15753217606379463,0.1566763747980292,0.15695262515918598,0.15348422702425726,100.0
79,4.285714285714286,0.1429237360391361,0.1431032098687768,0.14245510467512848,0.14266782162855712,0.14002118570978517,100.0
80,4.571428571428571,0.12190978316695086,0.12206983792507275,0.12159820950701385,0.12174971646403476,0.11981242772382189,100.0
81,4.857142857142858,0.0871033695014003,0.08723229536810324,0.08693847003405095,0.08701704068491672,0.08580623411113492,100.0
