,y,V1x_ib,V2x_ib,V1z_ib,V2z_ib,V1x_wt,V2x_wt,V1z_wt,V2z_wt
36,-12.286867955709731,-0.036736135130735204,-0.1645910813673625,-0.003162863174641259,0.015216125269845258,-0.0008964063593045795,-0.003326687953412528,-2.6200283356799226e-05,-0.0010803626212834005
37,-11.92591513422624,-0.03863208847779824,-0.17675764043747894,-0.003355789347941385,0.01609196397756465,-0.0009170812416032641,-0.0027796917599818985,-2.737404578012977e-05,-0.0010732166610265168
38,-11.555831637037603,-0.040699503139875665,-0.19040938965995488,-0.003565736025480968,0.017029059200003145,-0.0009386418347715065,-0.0024578435876772844,-2.8635703626349093e-05,-0.001025914008852229
39,-11.177631837285423,-0.04295112929025797,-0.20574934505506587,-0.003793651594835788,0.018030742738571918,-0.0009610369782445813,-0.00227729372918516,-2.9989311828979288e-05,-0.0009599301917406463
40,-10.792352354332477,-0.04540049071860995,-0.22301289571039068,-0.004040452754166298,0.019100900637376933,-0.0009842044726534479,-0.002183167023500193,-3.1438940007282265e-05,-0.0008874319725874494
41,-10.401049212461091,-0.048061875210645214,-0.24247027680438332,-0.004307006401597108,0.020243384505465367,-0.0010080701007554422,-0.002139753201408477,-3.298862642693565e-05,-0.0008150985267221252
42,-10.004794946383985,-0.05095032253932113,-0.2644262804884636,-0.004594112738263823,0.021460520140416647,-0.001032546752563754,-0.00212405159753915,-3.4642325016274024e-05,-0.0007463959913730101
43,-9.604675661501183,-0.0540816130205902,-0.2892147514712028,-0.004902491727540342,0.022750131191979044,-0.0010575337060410247,-0.0021214976391992976,-3.640384478747031e-05,-0.0006829318433250205
44,-9.201788056960595,-0.05747226043886514,-0.31718435628745023,-0.005232775637451765,0.024100354873553546,-0.001082916121849615,-0.0021231181095747657,-3.827678092157651e-05,-0.0006252602154885813
45,-8.797236419681894,-0.06113951367519593,-0.34867112316292154,-0.005585510904193557,0.025481522594341832,-0.0011085648168662982,-0.0021236287318850628,-4.0264436664839086e-05,-0.0005733587523867264
46,-8.407720543643501,-0.06494318757133463,-0.3825221346029464,-0.005946282615446515,0.02678420740330479,-0.0011333439251526964,-0.0021203845654444876,-4.2286485707276856e-05,-0.0005286010833938678
47,-8.039476373556905,-0.06880920017098432,-0.4179211998249583,-0.006307615882861987,0.027912632789033193,-0.0011567752764897635,-0.0021128297259046056,-4.430245552544096e-05,-0.0004905191428493066
48,-7.688101876128963,-0.07276656726827492,-0.45485011692409316,-0.00667196562726167,0.028788620209347505,-0.0011790687188337483,-0.0021012172568565034,-4.632693070638995e-05,-0.00045760919957902566
49,-7.364273387659948,-0.07666792079235811,-0.49153912468926697,-0.007025851623238002,0.029296513744411088,-0.001199494612800144,-0.0020867296601857284,-4.8285505587430174e-05,-0.0004299315741892813
50,-7.077830272906871,-0.08034065960267359,-0.5259411587106069,-0.007354399866678709,0.02938452235563955,-0.0012174135778423218,-0.002071028791393204,-5.0096642204586916e-05,-0.0004073588935507048
51,-6.837475960964291,-0.08359654142526282,-0.5573830492439884,-0.007642131772767565,0.030136565182282374,-0.001232303993827665,-0.0020558976053057496,-5.1676448795887326e-05,-0.00038967790801234473
52,-6.650513495975436,-0.08624696261983293,-0.6638111262895914,-0.007874054804570742,0.09617030461987093,-0.0012437732266103803,-0.002042975781289814,-5.2944983903082224e-05,-0.00037665938973123806
53,-6.522623637831419,-0.08812274722291907,-1.7792609450363794,-0.00803701421914536,1.0171013194180771,-0.0012515523265382356,-0.00203359083659812,-5.3833430701452054e-05,-0.00036810268929666806
